// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
Model.Load(#GRENADE)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Grenade, 10)
Player.Money($PLAYER_CHAR) += -500
jump @LEVELMANA_1529 

:LEVELMANA_1496
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_1529
if 
  $TEMPVAR_X_COORD == 8 
jf @LEVELMANA_1630 
if 
   Player.Money($PLAYER_CHAR) > 2500
jf @LEVELMANA_1597 
Model.Load(#FLAME)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Flamethrower, 300)
Player.Money($PLAYER_CHAR) += -2500
jump @LEVELMANA_1630 

:LEVELMANA_1597
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_1630
if 
  $TEMPVAR_X_COORD == 9 
jf @LEVELMANA_1655 
jump @LEVELMANA_1666 

:LEVELMANA_1655
return 

:LEVELMANA_1657
jump @LEVELMANA_633 
return 

:LEVELMANA_1666
read_memory 1@ 12045156 4 0 
08D4: 2@ = create_panel_with_title 'FNATZS1' position 29.0 145.0 width 200.0 columns 1 interactive 1 background 1 alignment 1 
08DB: set_panel 2@ column 0 header 'FNATS22' data 'FNATS12' 'FNATS13' 'FNATS14' 'FNATS15' 'FNATS16' 'FNATS17' 'FNATS18' 'FNATS19' 'FNATS20' 'FNATS23' 'DUMMY' 'DUMMY' 
0512: show_permanent_text_box 'CLOTHA' 
wait 200 
015D: set_gamespeed 0.0 

:LEVELMANA_1864
wait 0 
if or
00E1:   player 0 pressed_key 15 
is_key_pressed 88 
jf @LEVELMANA_1910 
08DA: remove_panel 2@ 
03E6: remove_text_box 
015D: set_gamespeed 1@ 
Player.CanMove($PLAYER_CHAR, True)
return 

:LEVELMANA_1910
if 
00E1:   player 0 pressed_key 16 
jf @LEVELMANA_3006 
08D7: $TEMPVAR_X_COORD = panel 2@ active_row 
08DA: remove_panel 2@ 
03E6: remove_text_box 
015D: set_gamespeed 1@ 
Player.CanMove($PLAYER_CHAR, True)
if 
  $TEMPVAR_X_COORD == 0 
jf @LEVELMANA_2062 
if 
   Player.Money($PLAYER_CHAR) > 200
jf @LEVELMANA_2029 
$TEMPVAR_Y_COORD = Actor.Health($PLAYER_ACTOR)
$TEMPVAR_Y_COORD += 20 
Actor.Health($PLAYER_ACTOR) = $TEMPVAR_Y_COORD
Player.Money($PLAYER_CHAR) += -200
jump @LEVELMANA_2062 

:LEVELMANA_2029
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_2062
if 
  $TEMPVAR_X_COORD == 1 
jf @LEVELMANA_2154 
if 
   Player.Money($PLAYER_CHAR) > 200
jf @LEVELMANA_2121 
Actor.Armour($PLAYER_ACTOR) = 20
Player.Money($PLAYER_CHAR) += -200
jump @LEVELMANA_2154 

:LEVELMANA_2121
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_2154
if 
  $TEMPVAR_X_COORD == 2 
jf @LEVELMANA_2247 
if 
   Player.Money($PLAYER_CHAR) > 1500
jf @LEVELMANA_2214 
Actor.Health($PLAYER_ACTOR) = 250
Player.Money($PLAYER_CHAR) += -1500
jump @LEVELMANA_2247 

:LEVELMANA_2214
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_2247
if 
  $TEMPVAR_X_COORD == 3 
jf @LEVELMANA_2347 
if 
   Player.Money($PLAYER_CHAR) > 2000
jf @LEVELMANA_2314 
Model.Load(#ROCKETLA)
038B: load_requested_models 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.RocketLauncher, 10)
Player.Money($PLAYER_CHAR) += -2000
jump @LEVELMANA_2347 

:LEVELMANA_2314
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_2347
if 
  $TEMPVAR_X_COORD == 4 
jf @LEVELMANA_2438 
print_help_formatted "PUBLIC 1775 IS NOT SUPPORT THIS FUNCTION, PLEASE WAIT FOR UPDATE!" 2766 

:LEVELMANA_2438
if 
  $TEMPVAR_X_COORD == 5 
jf @LEVELMANA_2588 
if 
   Player.Money($PLAYER_CHAR) > 1600
jf @LEVELMANA_2555 
print_help_formatted "PUBLIC 1775 IS NOT SUPPORT THIS FUNCTION, PLEASE WAIT FOR UPDATE!" 2766 
jump @LEVELMANA_2588 

:LEVELMANA_2555
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_2588
if 
  $TEMPVAR_X_COORD == 6 
jf @LEVELMANA_2738 
if 
   Player.Money($PLAYER_CHAR) > 1200
jf @LEVELMANA_2705 
print_help_formatted "PUBLIC 1775 IS NOT SUPPORT THIS FUNCTION, PLEASE WAIT FOR UPDATE!" 2766 
jump @LEVELMANA_2738 

:LEVELMANA_2705
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_2738
if 
  $TEMPVAR_X_COORD == 7 
jf @LEVELMANA_2829 
print_help_formatted "PUBLIC 1775 IS NOT SUPPORT THIS FUNCTION, PLEASE WAIT FOR UPDATE!" 2766 

:LEVELMANA_2829
if 
  $TEMPVAR_X_COORD == 8 
jf @LEVELMANA_2979 
if 
   Player.Money($PLAYER_CHAR) > 2000
jf @LEVELMANA_2946 
print_help_formatted "PUBLIC 1775 IS NOT SUPPORT THIS FUNCTION, PLEASE WAIT FOR UPDATE!" 2766 
jump @LEVELMANA_2979 

:LEVELMANA_2946
print_help_formatted "YOU HAVEN'T ENOUGH MONEY!" 2766 

:LEVELMANA_2979
if 
  $TEMPVAR_X_COORD == 9 
jf @LEVELMANA_3004 
jump @LEVELMANA_435 

:LEVELMANA_3004
return 

:LEVELMANA_3006
jump @LEVELMANA_1864 
return 

:LEVELMANA_3015
read_memory 1@ 12045156 4 0 
08D4: 2@ = create_panel_with_title 'MENU2A' position 29.0 145.0 width 200.0 columns 1 interactive 1 background 1 alignment 1 
08DB: set_panel 2@ column 0 header 'MENU1A' data 'MENYES' 'MENNO' 'DUMMY' 'DUMMY' 'DUMMY' 'DUMMY' 'DUMMY' 'DUMMY' 'DUMMY' 'DUMMY' 'DUMMY' 'DUMMY' 
0512: show_permanent_text_box 'CLOTHA' 
wait 200 
015D: set_gamespeed 0.0 

:LEVELMANA_3213
wait 0 
if or
00E1:   player 0 pressed_key 15 
is_key_pressed 88 
jf @LEVELMANA_3266 
08DA: remove_panel 2@ 
03E6: remove_text_box 
015D: set_gamespeed 1@ 
Player.CanMove($PLAYER_CHAR, True)
30@ = 0 
return 

:LEVELMANA_3266
if 
00E1:   player 0 pressed_key 16 
jf @LEVELMANA_3366 
08D7: 30@ = panel 2@ active_row 
08DA: remove_panel 2@ 
03E6: remove_text_box 
015D: set_gamespeed 1@ 
Player.CanMove($PLAYER_CHAR, True)
if 
  30@ == 0 
jf @LEVELMANA_3337 
30@ = 1 
return 

:LEVELMANA_3337
if 
  30@ == 1 
jf @LEVELMANA_3364 
30@ = 0 
return 

:LEVELMANA_3364
return 

:LEVELMANA_3366
jump @LEVELMANA_3213 
return 

:MISSION_STARTER
script_name 'MISSION_STARTER' 

:MISSION_STARTER_19
wait 0 
if 
   not Actor.Dead($PLAYER_ACTOR)
jf @MISSION_STARTER_19 
if 
   not Player.WantedLevel(0) > 0
jf @MISSION_STARTER_19 
if 
  $ONMISSION == 0 
jf @MISSION_STARTER_19 
if 
00FE:   actor $PLAYER_ACTOR sphere 1 in_sphere 1537.942 -1690.996 13.5469 radius 1.0 1.0 1.0 
jf @MISSION_STARTER_166 
LEVELMANA_3015()
0209: 10@ = random_int_in_ranges 3 6 
if 
  30@ == 1 
jf @MISSION_STARTER_161 
start_mission 10@  // Beefy Baron

:MISSION_STARTER_161
wait 2000 

:MISSION_STARTER_166
jump @MISSION_STARTER_19 
03DE: set_pedestrians_density_multiplier_to 0.0 
01EB: set_traffic_density_multiplier_to 0.0 
042B: clear_peds_from_cube_cornerA 300000.0 300000.0 300000.0 cornerB -300000.0 -300000.0 -300000.0 
03BA: clear_cars_from_cube_cornerA 300000.0 300000.0 300000.0 cornerB -300000.0 -300000.0 -300000.0 
0395: clear_area 1 at 2488.562 -1666.865 12.8757 radius 1000.0 
06D0: enable_emergency_traffic 0 
06D7: enable_train_traffic 0 
099E: enable_police_patrols 0 
03C7: set_sensitivity_to_crime 0.0 
072C: generate_police_bikes 0 
return 

:MISSION_STARTER_300
03F0: enable_text_draw 1 
if 
   not $9386 == 0 
jf @MISSION_STARTER_814 
MISSION_STARTER_857()
Actor.StorePos($PLAYER_ACTOR, 10@, 11@, 12@)
cleo_call @MISSION_STARTER_925 1 10@ 14@ 15@ 
045B: draw_text_2numbers 10.0 15.0 GXT '_DBX' numbers 14@ 15@ 
MISSION_STARTER_857()
Actor.StorePos($PLAYER_ACTOR, 10@, 11@, 12@)
cleo_call @MISSION_STARTER_925 1 11@ 14@ 15@ 
045B: draw_text_2numbers 10.0 25.0 GXT '_DBY' numbers 14@ 15@ 
MISSION_STARTER_857()
Actor.StorePos($PLAYER_ACTOR, 10@, 11@, 12@)
cleo_call @MISSION_STARTER_925 1 12@ 14@ 15@ 
045B: draw_text_2numbers 10.0 35.0 GXT '_DBZ' numbers 14@ 15@ 
MISSION_STARTER_857()
13@ = Actor.Angle($PLAYER_ACTOR)
cleo_call @MISSION_STARTER_925 1 13@ 14@ 15@ 
045B: draw_text_2numbers 10.0 45.0 GXT '_DBA' numbers 14@ 15@ 
MISSION_STARTER_857()
077E: get_active_interior_to 14@ 
045A: draw_text_1number 10.0 55.0 GXT '_DBI' number 14@ 
MISSION_STARTER_857()
045A: draw_text_1number 10.0 65.0 GXT '_DBE' number $9393 
MISSION_STARTER_857()
045A: draw_text_1number 10.0 75.0 GXT '_DTN' number $9368 
MISSION_STARTER_857()
045A: draw_text_1number 10.0 85.0 GXT '_DZN' number $9369 
MISSION_STARTER_857()
045A: draw_text_1number 10.0 95.0 GXT '_DHN' number $9370 
MISSION_STARTER_857()
045A: draw_text_1number 10.0 115.0 GXT "_DBN" number 0 
MISSION_STARTER_857()
045A: draw_text_1number 10.0 105.0 GXT "_EXPS" number $9405 
MISSION_STARTER_857()
jump @MISSION_STARTER_855 

:MISSION_STARTER_814
MISSION_STARTER_857()
033F: set_text_draw_letter_size 0.4 1.6 
045A: draw_text_1number 10.0 150.0 GXT "_EXPS" number $9405 

:MISSION_STARTER_855
return 

:MISSION_STARTER_857
0349: set_text_draw_font 1 
033F: set_text_draw_letter_size 0.3 0.8 
0340: set_text_draw_RGBA 255 255 255 255 
0342: set_text_draw_centered 0 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 255 
033F: set_text_draw_letter_size 0.2 0.8 
return 

:MISSION_STARTER_925
0085: 11@ = 0@ // (int) 
008C: 10@ = float 11@ to_integer 
008D: 12@ = integer 10@ to_float 
0086: 13@ = 11@ // (float) 
0061: 13@ -= 12@ // (float) 
13@ *= 100.0 
008C: 14@ = float 13@ to_integer 
if 
   not 14@ >= 0 
jf @MISSION_STARTER_1008 
14@ *= -1 

:MISSION_STARTER_1008
cleo_return 2 10@ 14@ 
start_new_script @NONAME_2 -1 0 4 -20 -1 0 
return 

:MISSION_STARTER_1041
add_text_label "_DBX" "X ~1~.~1~" 
add_text_label "_DBY" "Y ~1~.~1~" 
add_text_label "_DBZ" "Z ~1~.~1~" 
add_text_label "_DBA" "ANGLE ~1~.~1~" 
add_text_label "_DBI" "INTERIOR ~1~" 
add_text_label "_DBM" "MISSION ~1~" 
add_text_label "_DBE" "AREA ~1~" 
add_text_label "_DTN" "THREADS ~1~" 
add_text_label "_DZN" "ZOMBIES ~1~" 
add_text_label "_DHN" "A.I. API NPCS ~1~" 
add_text_label "_DHR" "RANDOM NPC ID:~1~ POINTER:~2~" 
add_text_label "_EXPS" "LEVEL ~1~" 
add_text_label "FNATZS1" "SHOP MENU" 
add_text_label "FNATZS2" "KNIFE $200" 
add_text_label "FNATZS3" "MP5 $1200" 
add_text_label "FNATZS4" "AK47 $1600" 
add_text_label "FNATZS5" "M4 $1600" 
add_text_label "FNATZS6" "DESERT EAGLE $1700" 
add_text_label "FNATZS7" "COMBAT SHOTGUN $1700" 
add_text_label "FNATZS8" "UZI $1700" 
add_text_label "FNATZS9" "GRENADE $500" 
add_text_label "FNATS10" "FLAMETHROWER $2500" 
add_text_label "FNATS11" "NEXT>>" 
add_text_label "FNATS12" "HEALTH[20] $300" 
add_text_label "FNATS13" "ARMOR[20] $300" 
add_text_label "FNATS14" "FULL RECOVERY $1500" 
add_text_label "FNATS15" "RPG $2000" 
add_text_label "FNATS16" "_" 
add_text_label "FNATS17" "_" 
add_text_label "FNATS18" "_" 
add_text_label "FNATS19" "_" 
add_text_label "FNATS20" "_" 
add_text_label "FNATS23" "BACK<<" 
add_text_label "FNATS21" "PAGE 1/2" 
add_text_label "FNATS22" "PAGE 2/2" 
return 

:MISSION_STARTER_1824
add_text_label "@DEB1" "~Y~PUBLIC 1775 ∆Ñè∆èì≈å∞≈®¶…°π«õÆ∆≠£≈å®≈à∂ƒΩåƒ®≠ TAMILL(TAMCL)~N~NEWTAMCL(AT)FOXMAIL.COM" 
05A9: s$9412 = "@DEB1" // s$ 
start_new_script @3DTEXTM 1513.014 -1691.125 15.0469 0 -1 50.0 180.0 28.0 
wait 0 
add_text_label "@DEB3" "»≠¶»Ω¶∆ïë∆è•" 
05A9: s$9412 = '@DEB3' // s$ 
start_new_script @3DTEXTM 1475.329 -1665.927 14.5532 0 -1 20.0 140.0 15.0 
return 
wait 0 
add_text_label "@DEB2" "≈™è«´†" 
05A9: s$9412 = '@DEB2' // s$ 
start_new_script @3DTEXTM 1513.597 -1715.0 15.0469 0 -1 20.0 140.0 15.0 
wait 0 
add_text_label "@DEB4" "∆óß…áë≈±±«™Å≈õ•" 
05A9: s$9412 = '@DEB4' // s$ 
start_new_script @3DTEXTM 1513.43 -1705.0 15.0469 0 -1 20.0 160.0 15.0 
wait 0 
add_text_label "@DEB5" "«ãÇ…£é»°å≈ä®" 
05A9: s$9412 = '@DEB5' // s$ 
start_new_script @3DTEXTM 1513.323 -1700.0 15.0469 0 -1 20.0 160.0 15.0 
wait 0 
add_text_label "@DEB6" "~Y~DEMO »Øï«é©ƒªª≈ä°" 
05A9: s$9412 = '@DEB6' // s$ 
start_new_script @3DTEXTM 1513.597 -1707.0 17.0469 0 -1 40.0 220.0 15.0 
wait 0 
add_text_label "@DEB7" "~Y~…ªë∆°Å»°å≈ä®" 
05A9: s$9412 = '@DEB7' // s$ 
start_new_script @3DTEXTM 1513.255 -1697.037 15.0469 0 -1 40.0 220.0 15.0 
return 

:MISSION_STARTER_2487
Player.SetClothes($PLAYER_CHAR, "VESTBLACK", "VEST", BodyPart.Torso)
Player.SetClothes($PLAYER_CHAR, "WORKTRCAMOGRN", "WORKTR", BodyPart.Legs)
Player.SetClothes($PLAYER_CHAR, "SNEAKERBINCBLK", "SNEAKER", BodyPart.Shoes)
Player.SetClothes($PLAYER_CHAR, "PLAYER_FACE", "HEAD", BodyPart.Head)
Player.Build($PLAYER_CHAR)
0793: save_player_clothes 
return 

:MISSION_STARTER_2608
return 
062A: change_float_stat 70 to 20000.0 
062A: change_float_stat 71 to 20000.0 
062A: change_float_stat 72 to 20000.0 
062A: change_float_stat 73 to 20000.0 
062A: change_float_stat 75 to 20000.0 
062A: change_float_stat 78 to 20000.0 
062A: change_float_stat 165 to 800.0 
062A: change_float_stat 160 to 0.0 
0629: change_integer_stat 181 to 0 
0629: change_integer_stat 68 to 0 
062A: change_float_stat 23 to 0.0 
062A: change_float_stat 21 to 0.0 
062A: change_float_stat 163 to 999.0 
062A: change_float_stat 160 to 999.0 
062A: change_float_stat 229 to 999.0 
062A: change_float_stat 223 to 999.0 
062A: change_float_stat 230 to 999.0 
062A: change_float_stat 69 to 999.0 
0629: change_integer_stat 181 to 4 
0629: change_integer_stat 68 to 0 
0A1F: increase_float_stat 24 by 2500.0 
062A: change_float_stat 69 to 20000.0 
062A: change_float_stat 70 to 20000.0 
062A: change_float_stat 71 to 20000.0 
062A: change_float_stat 72 to 20000.0 
062A: change_float_stat 73 to 20000.0 
062A: change_float_stat 74 to 20000.0 
062A: change_float_stat 75 to 20000.0 
062A: change_float_stat 76 to 20000.0 
062A: change_float_stat 77 to 20000.0 
062A: change_float_stat 78 to 20000.0 
062A: change_float_stat 79 to 20000.0 
return 

:MISSION_STARTER_2897
0237: set_gang 0 weapons_to 22 28 0 
0237: set_gang 1 weapons_to 24 30 8 
0237: set_gang 2 weapons_to 22 0 0 
0237: set_gang 3 weapons_to 22 0 0 
0237: set_gang 4 weapons_to 22 0 0 
0237: set_gang 5 weapons_to 22 0 0 
0237: set_gang 6 weapons_to 22 0 0 
0237: set_gang 7 weapons_to 22 0 0 
0237: set_gang 8 weapons_to 22 0 0 
return 

:MISSION_STARTER_2989
Model.Load(#COLT45)
Model.Load(#M4)
Model.Load(#IRGOGGLES)
Model.Load(#KNIFECUR)
04ED: load_animation "KNIFE" 
04ED: load_animation "SWORD" 
04ED: load_animation "SWAT" 
04ED: load_animation "TREIZ" 
return 

:DEBUGMAIN
script_name 'DEBUGMAIN' 
$9368 += 1 
add_text_label "_FPS" "FPS ~1~" 
add_text_label "_FPS2" "~Y~FPS ~1~" 
add_text_label "_FPS3" "~R~FPS ~1~" 
2@ = 30 

:DEBUGMAIN_92
1@ = 0 
TIMERA = 0 

:DEBUGMAIN_106
wait 0 
MISSION_STARTER_300()
MISSION_STARTER_857()
1@ += 1 
if 
  2@ > 40 
jf @DEBUGMAIN_170 
045A: draw_text_1number 10.0 5.0 GXT "_FPS" number 2@ 

:DEBUGMAIN_170
if and
  2@ > 25 
   not 2@ >= 40 
jf @DEBUGMAIN_217 
045A: draw_text_1number 10.0 5.0 GXT "_FPS2" number 2@ 

:DEBUGMAIN_217
if 
   not 2@ >= 25 
jf @DEBUGMAIN_257 
045A: draw_text_1number 10.0 5.0 GXT "_FPS3" number 2@ 

:DEBUGMAIN_257
if 
  TIMERA > 999 
jf @DEBUGMAIN_106 
0085: 2@ = 1@ // (int) 
jump @DEBUGMAIN_92 
0662: printstring "≈Ö≤≈ç°«£ñ»Ωë»åÅƒΩã (∆å¨»Ñä∆å¨ƒ®ìœØΩ?" 
$9380 = 0 
$9382 = 0 
$9384 = 1 
$9381 = 1 
$9383 = 27 
$9391 = 1 
$ONMISSION = 1 
$9379 = 1 
$9388 = 1 
$9387 = 0 
$9389 = 0 
$9376 = 0 
$9377 = 0 
$9378 = 0 
  $9385 == 1 
0085: $9382 = $ACTOR_SWEET // (int) 
$9414 = 1 
$9415 = 0 
$9416 = 0 
start_new_script @NONAME_2 -1 0 4 -20 -1 0 
start_new_script @AISET_Z -1 1 
return 

:DEBUGMAIN_499
if 
  $9389 > 0 
jf @DEBUGMAIN_1613 
0085: 10@ = $9389 // (int) 
10@ -= 1000 
if or
  10@ > 0 
  $9390 == 0 
jf @DEBUGMAIN_1613 
if 
  10@ > 0 
jf @DEBUGMAIN_584 
$9389 -= 1000 

:DEBUGMAIN_584
if 
  $9389 == 1 
jf @DEBUGMAIN_799 
Audiostream.Release($9390)
if 
$9390 = Audiostream.Load("TAMILL\KALAFINAMAGIA2.MP3")
jf @DEBUGMAIN_671 
Audiostream.PerformAction($9390, AudioStreamState.Play)
Audiostream.Loop($9390, 1)
jump @DEBUGMAIN_799 

:DEBUGMAIN_671
add_text_label "TAQ25%2" "[~R~ERROR~W~] AUDIOSTREAM CAN'T LOAD FILE 'TAMILL\KALAFINAMAGIA2.MP3', ARE YOU MISSING TAMILL FOLDER?" 
05A9: s$9408 = 'TAQ25%2' // s$ 

:DEBUGMAIN_799
if 
  $9389 == 2 
jf @DEBUGMAIN_1012 
Audiostream.Release($9390)
if 
$9390 = Audiostream.Load("TAMILL\KALAFINAMAGIA.MP3")
jf @DEBUGMAIN_885 
Audiostream.PerformAction($9390, AudioStreamState.Play)
Audiostream.Loop($9390, 1)
jump @DEBUGMAIN_1012 

:DEBUGMAIN_885
add_text_label "TAQ22%2" "[~R~ERROR~W~] AUDIOSTREAM CAN'T LOAD FILE 'TAMILL\KALAFINAMAGIA.MP3', ARE YOU MISSING TAMILL FOLDER?" 
05A9: s$9408 = 'TAQ22%2' // s$ 

:DEBUGMAIN_1012
if 
  $9389 == 3 
jf @DEBUGMAIN_1211 
Audiostream.Release($9390)
if 
$9390 = Audiostream.Load("TAMILL\ROBBER.WAV")
jf @DEBUGMAIN_1091 
Audiostream.PerformAction($9390, AudioStreamState.Play)
Audiostream.Loop($9390, 1)
jump @DEBUGMAIN_1211 

:DEBUGMAIN_1091
add_text_label "TAQ26%2" "[~R~ERROR~W~] AUDIOSTREAM CAN'T LOAD FILE 'TAMILL\ROBBER.WAV', ARE YOU MISSING TAMILL FOLDER?" 
05A9: s$9408 = 'TAQ26%2' // s$ 

:DEBUGMAIN_1211
if 
  $9389 == 4 
jf @DEBUGMAIN_1412 
Audiostream.Release($9390)
if 
$9390 = Audiostream.Load("TAMILL\CREDITS.MP3")
jf @DEBUGMAIN_1291 
Audiostream.PerformAction($9390, AudioStreamState.Play)
Audiostream.Loop($9390, 1)
jump @DEBUGMAIN_1412 

:DEBUGMAIN_1291
add_text_label "TAQ32%2" "[~R~ERROR~W~] AUDIOSTREAM CAN'T LOAD FILE 'TAMILL\CREDITS.MP3', ARE YOU MISSING TAMILL FOLDER?" 
05A9: s$9408 = 'TAQ32%2' // s$ 

:DEBUGMAIN_1412
if 
  $9389 == 5 
jf @DEBUGMAIN_1613 
Audiostream.Release($9390)
if 
$9390 = Audiostream.Load("TAMILL\GHOSTON.MP3")
jf @DEBUGMAIN_1492 
Audiostream.PerformAction($9390, AudioStreamState.Play)
Audiostream.Loop($9390, 1)
jump @DEBUGMAIN_1613 

:DEBUGMAIN_1492
add_text_label "TAQ33%2" "[~R~ERROR~W~] AUDIOSTREAM CAN'T LOAD FILE 'TAMILL\GHOSTON.MP3', ARE YOU MISSING TAMILL FOLDER?" 
05A9: s$9408 = 'TAQ33%2' // s$ 

:DEBUGMAIN_1613
if and
  $9389 == 0 
   not $9390 == 0 
jf @DEBUGMAIN_1657 
Audiostream.Release($9390)
$9390 = 0 
$9389 = 0 

:DEBUGMAIN_1657
if 
  $9391 == 1 
jf @DEBUGMAIN_1753 
if 
  $9384 == 1 
jf @DEBUGMAIN_1714 
$9389 = 2 
29@ = 1 
jump @DEBUGMAIN_1746 

:DEBUGMAIN_1714
if 
  29@ == 1 
jf @DEBUGMAIN_1746 
$9389 = 0 
29@ = 0 

:DEBUGMAIN_1746
jump @DEBUGMAIN_1785 

:DEBUGMAIN_1753
if 
  29@ == 1 
jf @DEBUGMAIN_1785 
$9389 = 0 
29@ = 0 

:DEBUGMAIN_1785
return 

:DEBUGMAIN_1787
if 
test_cheat "HELP" 
jf @DEBUGMAIN_2014 
add_text_label "SYSTIP1" "~Y~[HELP]~W~_HELP, CRED, CLEARZ, SHOWZ, SPAWNZ, CRAZY, NOAI, DEBUG [ID]," 
05A9: s$9408 = 'SYSTIP1' // s$ 
wait 0 
add_text_label "SYSTI%1" "BR, SPAWNAREA, MISS [ID], BLK, BLL, TE [ID], BB [ID], RPAI, TPBASE, NPC [NAME]" 
05A9: s$9408 = 'SYSTI%1' // s$ 

:DEBUGMAIN_2014
if 
test_cheat "IGPLAYER" 
jf @DEBUGMAIN_2097 
print_help_formatted "DEBUG CONSOLE" 2766 
if 
  $9417 == 1 
jf @DEBUGMAIN_2090 
$9417 = 0 
jump @DEBUGMAIN_2097 

:DEBUGMAIN_2090
$9417 = 1 

:DEBUGMAIN_2097
if 
test_cheat "IGCOP" 
jf @DEBUGMAIN_2177 
print_help_formatted "DEBUG CONSOLE" 2766 
if 
  $9418 == 1 
jf @DEBUGMAIN_2170 
$9418 = 0 
jump @DEBUGMAIN_2177 

:DEBUGMAIN_2170
$9418 = 1 

:DEBUGMAIN_2177
if 
test_cheat "TPBASE" 
jf @DEBUGMAIN_2330 
add_text_label "SYST2441" "[ƒΩå≈£ä«≤ª«ªè] PLAYER.TELEPORTZONE('POLICESTATIONBASE')" 
05A9: s$9408 = 'SYST2441' // s$ 
if 
   not Actor.Driving($PLAYER_ACTOR)
jf @DEBUGMAIN_2310 
0792: disembark_instantly_actor $PLAYER_ACTOR 

:DEBUGMAIN_2310
Actor.PutAt($PLAYER_ACTOR, 1538.399, -1701.109, -100.0)

:DEBUGMAIN_2330
if 
test_cheat "CRED" 
jf @DEBUGMAIN_2438 
if 
   not $9419 == 1 
jf @DEBUGMAIN_2438 
start_new_script @SHOW_CREDITS 
add_text_label "SYSTIP2" "[ƒΩå≈£ä«≤ª«ªè] ≈ÄØ≈ä®≈å™∆ôØ <«ªà«´†>" 
05A9: s$9408 = 'SYSTIP2' // s$ 

:DEBUGMAIN_2438
if 
test_cheat "CLEARZ" 
jf @DEBUGMAIN_2677 
if 
   not $9380 == 1 
jf @DEBUGMAIN_2580 
03E5: show_text_box 'CHEAT1' 
$9380 = 1 
add_text_label "SYSTIP31" "[ƒΩå≈£ä«≤ª«ªè] ZOMBIESYSTEM.ALLCLEAN(TRUE)" 
05A9: s$9408 = 'SYSTIP31' // s$ 
jump @DEBUGMAIN_2677 

:DEBUGMAIN_2580
$9380 = 0 
03E5: show_text_box 'CHEAT8' 
add_text_label "SYSTIP32" "[ƒΩå≈£ä«≤ª«ªè] ZOMBIESYSTEM.ALLCLEAN(FALSE)" 
